Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
13512,ASN-TATA TRI,ASANSOL MAIN,TATANAGAR JN,SATURDAY,Weekend
14001,DLI-ATT LINK,DELHI JN.,ATARI JN,SATURDAY,Weekend
14007,SADBHAWNA EX,RAXAUL JN.,ANAND VIHAR TERMINAL,SATURDAY,Weekend
14014,SADBHAWANA E,ANAND VIHAR TERMINAL,SULTANPUR JN.,SATURDAY,Weekend
14015,SADBHAWANA E,RAXAUL JN.,ANAND VIHAR TERMINAL,SATURDAY,Weekend
14019,AGTL-ANVT SU,AGARTALA,ANAND VIHAR TERMINAL,SATURDAY,Weekend
14035,DLI PTK EXPR,DELHI JN.,PATHANKOT JN.,SATURDAY,Weekend
14036,PTK DLI EXPR,PATHANKOT JN.,DELHI JN.,SATURDAY,Weekend
14085,HARYANA EXPR,TILAK BRIDGE,SIRSA,SATURDAY,Weekend
14212,AGC INTERCIT,NEW DELHI,AGRA CANTT,SATURDAY,Weekend
14218,UNCHAHAR EXP,CHANDIGARH,PRAYAG JN.,SATURDAY,Weekend
14258,KASHI V EXPR,NEW DELHI,VARANASI JN.,SATURDAY,Weekend
14309,UJJAINI EXPR,UJJAIN JN,DEHRA DUN,SATURDAY,Weekend
14310,UJJAIYANI EX,DEHRA DUN,UJJAIN JN,SATURDAY,Weekend
14314,LTT-BE EXPRE,BAREILLY JN.,LOKMANYA TILAK TERMINUS,SATURDAY,Weekend
14505,ASR-NLDM EXP,AMRITSAR JN.,NANGAL DAM,SATURDAY,Weekend
14519,KISAN EXPRES,DELHI JN.,BATHINDA JN,SATURDAY,Weekend
14524,UMB-MFP HARI,AMBALA CANTT JN,BARAUNI JN.,SATURDAY,Weekend
14525,UMB - SGNR I,AMBALA CANTT JN,SHRI GANGANAGAR,SATURDAY,Weekend
14604,JANSADHARAN,AMRITSAR JN.,SAHARSA JN.,SATURDAY,Weekend
14659,DLI - JSM EX,DELHI JN.,JAISALMER,SATURDAY,Weekend
14681,NDLS-JUC EXP,NEW DELHI,JALANDHAR CITY JN.,SATURDAY,Weekend
14704,LGH JSM EXP,LALGARH JN.,JAISALMER,SATURDAY,Weekend
14715,HSR HW EXP,HISAR JN,HARIDWAR JN,SATURDAY,Weekend
14804,ADI BGKT EXP,AHMEDABAD,BHAGAT-KI-KOTHI,SATURDAY,Weekend
14806,BME YPR AC E,BARMER,YESVANTPUR JN.,SATURDAY,Weekend
14863,MARUDHAR EXP,VARANASI JN.,JODHPUR JN.,SATURDAY,Weekend
14865,MARUDHAR EXP,VARANASI JN.,JODHPUR JN.,SATURDAY,Weekend
14866,MARUDHAR EXP,JODHPUR JN.,VARANASI JN.,SATURDAY,Weekend
14888,BARMER  KLK,BARMER,KALKA,SATURDAY,Weekend
15012,LJN SRE EXP,CHANDIGARH,LUCKNOW JN.,SATURDAY,Weekend
15022,GORAKHPUR-SH,GORAKHPUR JN.,SHALIMAR,SATURDAY,Weekend
15025,MAU-ANVT EXP,MAU JN.,ANAND VIHAR TERMINAL,SATURDAY,Weekend
15026,ANVR-MAU-EXP,ANAND VIHAR TERMINAL,MAU JN.,SATURDAY,Weekend
15030,PUNE-GKP-EXP,PUNE JN.,GORAKHPUR JN.,SATURDAY,Weekend
15033,HW-RMR EXP,HARIDWAR JN,RAMNAGAR,SATURDAY,Weekend
15058,ANVT-GKP EXP,ANAND VIHAR TERMINAL,GORAKHPUR JN.,SATURDAY,Weekend
15064,LTT-GKP EXP,LOKMANYA TILAK TERMINUS,GORAKHPUR JN.,SATURDAY,Weekend
15068,BDTS-GKP EXP,BANDRA TERMINUS,GORAKHPUR JN.,SATURDAY,Weekend
15070,BNZ-GKP INTE,BADSHAHNAGAR,GORAKHPUR JN.,SATURDAY,Weekend
15111,CPR-BCY- INT,CHHAPRA JN.,VARANASI CITY,SATURDAY,Weekend
15120,MUV-RMM EXPR,MANDUADIH,RAMESWARAM,SATURDAY,Weekend
15210,ASR-SHC JANS,AMRITSAR JN.,SAHARSA JN.,SATURDAY,Weekend
15231,BJU - GONDIA,BARAUNI JN.,GONDIA JN.,SATURDAY,Weekend
15232,GONDIA - BJU,GONDIA JN.,BARAUNI JN.,SATURDAY,Weekend
15236,DBG-HWH EXPR,DARBHANGA JN.,HOWRAH JN.,SATURDAY,Weekend
15270,ADI-MFP JANS,AHMEDABAD,MUZAFFARPUR JN.,SATURDAY,Weekend
15279,POORBIYA EXP,SAHARSA JN.,ANAND VIHAR TERMINAL,SATURDAY,Weekend
15530,ANVT-SHC JSA,ANAND VIHAR TERMINAL,SAHARSA JN.,SATURDAY,Weekend
15532,ASR-SHC JSAD,AMRITSAR JN.,SAHARSA JN.,SATURDAY,Weekend
15560,ADI-DBG JANS,AHMEDABAD,DARBHANGA JN.,SATURDAY,Weekend
15602,NDLS - SCL P,NEW DELHI,SILCHAR,SATURDAY,Weekend
15605,KYQ-DBRG IC,FURKATING JN.,DIBRUGARH,SATURDAY,Weekend
15614,LACHIT EXPRE,MURKEONG SELEK,KAMAKHYA JN,SATURDAY,Weekend
15621,KYQ - ANVT E,KAMAKHYA JN,ANAND VIHAR TERMINAL,SATURDAY,Weekend
15623,BGKT KYQ WEE,BHAGAT-KI-KOTHI,KAMAKHYA JN,SATURDAY,Weekend
15655,KYQ - SVDK E,KAMAKHYA JN,SHRI MATA VAISHNO DEVI KATRA,SATURDAY,Weekend
15667,GADHIDHAM-KA,GANDHIDHAM JN.,KAMAKHYA JN,SATURDAY,Weekend
15715,GAREEB NAWAJ,KISHANGANJ,AJMER JN.,SATURDAY,Weekend
15724,SMI - NJP WE,SITAMARHI,NEW JALPAIGURI JN,SATURDAY,Weekend
15815,KYQ-DKGN INT,KAMAKHYA JN,DEKARGAON,SATURDAY,Weekend
15909,AVADH ASSAM,DIBRUGARH,LALGARH JN.,SATURDAY,Weekend
15929,TBM-DBRG EXP,TAMBARAM,DIBRUGARH,SATURDAY,Weekend
15942,DBRG-JAJ EXP,DIBRUGARH,JHAJHA,SATURDAY,Weekend
16023,MYS-YPR EXPR,MYSORE JN.,YESVANTPUR JN.,SATURDAY,Weekend
16085,AJJ-JTJ EXP,ARAKKONAM JN,JOLARPETTAI JN,SATURDAY,Weekend
16086,JTJ-AJJ  EXP,JOLARPETTAI JN,ARAKKONAM JN,SATURDAY,Weekend
16090,YELAGIRI EXP,JOLARPETTAI JN,CHENNAI CENTRAL,SATURDAY,Weekend
16093,MAS-LJN EXPR,CHENNAI CENTRAL,LUCKNOW JN.,SATURDAY,Weekend
16094,LJN - MAS EX,LUCKNOW JN.,CHENNAI CENTRAL,SATURDAY,Weekend
16176,KIK-MS EXP,KARAIKAL,CHENNAI EGMORE,SATURDAY,Weekend
16187,KIK-ERSEXP,KARAIKAL,ERNAKULAM. JN,SATURDAY,Weekend
