Source_Station_Name,Destination_Station_Name,Train_Count
AHMEDABAD,VADODARA JN.,5
BARDDHAMAN JN.,RAMPUR HAT,5
BAREILLY CITY,KASGANJ JN.,5
BAREILLY CITY,LALKUA JN.,5
BAREILLY CITY,PILIBHIT JN.,5
FALAKNUMA,HYDERABAD DECCAN,5
NILAMBUR ROAD,SHORANUR JN.,5
RAMPUR HAT,BARDDHAMAN JN.,5
TRIVANDRUM CENTRAL,HAZRAT NIZAMUDDIN JN,5
SHAMLI,DELHI JN.,5
SECUNDERABAD JN.,TIRUPATI,5
NEW BONGAIGAON  JN.,GUWAHATI,5
ERNAKULAM. JN,QUILON,5
DELHI JN.,PANIPAT JN.,5
FIROZPUR CANTT JN.,FAZILKA JN.,5
TIRUVALLUR,VELACHEERY,5
BARAMULLA,BANIHAL,5
BELAPUR C.B.D,MUMBAI VADALA ROAD,5
BANGARPET JN.,MARIKUPPAM,5
SECUNDERABAD JN.,VISAKHAPATNAM,5
TIRUVALLUR,CHENNAI BEACH,5
BANIHAL,BARAMULLA,5
VISAKHAPATNAM,SECUNDERABAD JN.,5
TIRUPATI,VISAKHAPATNAM,5
TIRUPATI,SECUNDERABAD JN.,5
NEW DELHI,HOWRAH JN.,5
NEW DELHI,AMRITSAR JN.,5
GUWAHATI,NEW BONGAIGAON  JN.,5
SEALDAH,HABRA,5
MACHILIPATNAM,VIJAYWADA JN.,5
GRAM MASAGRAM,BANKURA,5
MUMBAI VADALA ROAD,BELAPUR C.B.D,5
MADHUPUR JN.,GIRDIH,5
MORVI,WANKANER,5
GUNTUR JN.,VIJAYWADA JN.,5
BOBBILI JN.,SALUR,5
AMRITSAR JN.,NEW DELHI,5
CST-MUMBAI,HOWRAH JN.,5
KIUL JN.,JAMALPUR JN.,5
KATANGI,GONDIA JN.,5
SHRIRAMPUR,HOWRAH JN.,5
QUILON,ERNAKULAM. JN,5
KALKA,SHIMLA,5
KHARAGPUR,TATANAGAR JN,5
KASGANJ JN.,BAREILLY CITY,5
VARANASI JN.,LUCKNOW JN.,5
GORAKHPUR JN.,NARKATIAGANJ JN.,5
BANDRA TERMINUS,HAZRAT NIZAMUDDIN JN,4
TEZNARAYANPUR,KATIHAR JN.,4
CHENNAI BEACH,PATTABIRAM E DEPOT,4
GAYA JN.,KIUL JN.,4
YESVANTPUR JN.,HOWRAH JN.,4
THANE,BELAPUR C.B.D,4
JIND JN,KURUKSHETRA JN.,4
BALGONA,BARDDHAMAN JN.,4
AMBALA CANTT JN,KURUKSHETRA JN.,4
MORADABAD JN.,SAMBAHAL HATIM SARAI,4
KURUKSHETRA JN.,AMBALA CANTT JN,4
KATIHAR JN.,TEZNARAYANPUR,4
HOWRAH JN.,YESVANTPUR JN.,4
THANJAVUR JN.,TIRUCHIRAPPALLI JN.,4
TRIVANDRUM CENTRAL,CHENNAI CENTRAL,4
THAWE JN.,SIWAN JN.,4
LUCKNOW JN.,BARA BANKI JN.,4
HOWRAH JN.,MEMARI,4
SAINTHIA JN.,ANDAL JN.,4
KURLA,KALYAN JN,4
DADAR,THANE,4
METTUPALAIYAM JN.,COIMBATORE  JN.,4
SECUNDERABAD JN.,MEDCHAL,4
HOWRAH JN.,MASAGRAM,4
RANCHI,NEW DELHI,4
PATAN,MAHESANA JN,4
SANAWAD,MHOW,4
BHAVNAGAR TERMINUS,PALITANA,4
PUNE JN.,SOLAPUR,4
TARN TARAN,BEAS JN,4
PATHANKOT JN.,BAIJNATH PAPROLA,4
MHOW,RATLAM JN,4
JODHPUR JN.,BARMER,4
TENALI JN.,GUNTUR JN.,4
NAKODAR JN.,JALANDHAR CITY JN.,4
GANDHIGRAM,BOTAD JN (MG),4
PALWAL,GHAZIABAD JN.,4
NEW DELHI,RANCHI,4
PALITANA,BHAVNAGAR TERMINUS,4
TIRUPATI,KATPADI JN,4
KIUL JN.,GAYA JN.,4
CHENNAI CENTRAL,QUILON,4
BUDGAM,BARAMULLA,4
TIRUCHIRAPPALLI JN.,MAYILADUTURAI JN.,4
TIRUCHIRAPPALLI JN.,THANJAVUR JN.,4
TARAKESHWAR,ARAMBAG,4
GUDIVADA JN.,MACHILIPATNAM,4
RAMPUR HAT,AZIMGANJ JN.,4
GUDIVADA JN.,NARASAPUR,4
ITWARI JN.,NAGBHIR JN.,4
VELACHEERY,GUMMIDIPUNDI,4
JALANDHAR CITY JN.,NAKODAR JN.,4
GUMMIDIPUNDI,CHENNAI BEACH,4
LOHIAN KHAS JN.,LUDHIANA JN.,4
CHENNAI CENTRAL,TRIVANDRUM CENTRAL,4
VELACHEERY,PATTABIRAM E DEPOT,4
BOTAD JN (MG),GANDHIGRAM,4
PUNE JN.,TALEGAON,4
MHOW,SANAWAD,4
RANAGHAT JN.,KRISHNA NAGAR CITY JN.,4
ANAND JN.,GODHRA JN.,4
KURUKSHETRA JN.,JIND JN,4
MANDUADIH,ALLAHABAD CITY,4
VASAI ROAD,DIVA JN,4
ANAND JN.,AHMEDABAD,4
SAMBAHAL HATIM SARAI,MORADABAD JN.,4
NEW DELHI,BHUBANESWAR,4
GUNTUR JN.,TENALI JN.,4
LALGOLA,RANAGHAT JN.,4
BEAS JN,TARN TARAN,4
BANKURA,GRAM MASAGRAM,4
AMRITSAR JN.,SAHARSA JN.,4
BARA BANKI JN.,LUCKNOW JN.,4
BARAMULLA,BUDGAM,4
BARASAT JN.,BANGAON JN.,4
CST-MUMBAI,NAGPUR JN.(CR),4
