Destination_Station_Name,Train_Count
KAWAR,2
HOSUR,2
RANUJ,2
DELVADA,2
KANCHIPURAM,2
BETUL,2
JUNAGADH JN,2
KHAGARIA JN.,2
PATNA GHAT,2
WHITE FIELD,2
DIGHA GHAT,2
TILRATH,2
NIMTITA,2
PATIALA,2
PHULWARTANR,2
POLLACHI,2
SHIVAJINAGAR,2
KOT KAPURA JN,2
BHAGTANWALA,2
GARHI HARSARU JN.,2
RUPSA JN.,2
MANKHURD,2
DULLABCHERRA,2
VIKRABAD JN.,2
SIRPURKAGHAZ NAGAR,2
BOLPUR,2
UDAIPUR,2
METTUR DAM,2
NEW ALIPURDUAR,2
NIMACH,2
SRI SATYA SAI PRASANTI NILAYAM,2
MELMARUVATHUR,2
SALEMPUR JN.,2
BITRAGUNTA,2
DHUBRI,2
MARIANI JN.,2
SILGHAT TOWN,2
BHABUA ROAD,2
NEW COOCH BEHAR,2
VADTAL SWAMINARAYAN,2
MAISHASHAN,2
DAMOH,2
MADAR JN,2
BOTAD,2
BHANVAD,2
YAMUNA BRIDGE,2
KATHANA,2
MODASA,2
NADIAD JN.,2
SIURI,2
KALIANPUR,2
DANKAUR,2
HINDUPUR,2
ETAH,2
MADHYAM GRAM,2
HATHRAS QILAH,2
NAGAPPATTINAM,2
LONDA JN.,2
HARIHAR JN.,2
VANCHI MANIYACHCHI JN,2
CHIKMAGALURU,2
KABAKA PUTTUR,2
CHITRADURG,2
THIRUVARUR JN.,2
SIRPUR TOWN,2
JAGITYAL,2
PEDDAPALLI,2
TANDUR,2
MIRZAPALI,2
GUA,2
GARBETA,2
SHAHDOL,2
NAYAGARHTOWN,2
ABHANPUR JN.,2
MUNABAO,2
ALWAR JN.,2
NEW TINSUKIA JN,2
PARVATSAR CITY,2
BASTI,2
LALGUDI,2
MAHBUBABAD,2
SHEOPUR KALAN,2
KISHANGANJ,2
SIRMUTTRA,2
DHOLPUR (NG),2
KHANDWA JN. (CR),2
NAINPUR JN.,2
GUNA,2
BIR,2
ANUPPUR JN.,2
MADANMAHAL,2
MAVLI JN.,2
GHAT KOPAR,2
SATARA,2
BELLARY JN.,2
KATNI MURWARA,2
ADRAJ MOTI,2
GUDUM,1
BHILWARA,1
ABU ROAD,1
MALIYA MIYANA JN.,1
ANDHERI,1
CASTLE ROCK,1
IGATPURI,1
SANGLI,1
KURDUVADI JN.,1
BANDA JN,1
TANTPUR,1
BARI,1
MAKRANA JN.,1
NORTH LAKHIMPUR,1
DINHATA,1
HAIBARGAON,1
BARSOI JN.,1
TELTA,1
DANGARI,1
CHANNA PATNA,1
DHARMAPURI,1
MANAMADURAI,1
VIRUDUNAGAR JN,1
CUDDALORE PORT JN.,1
BHIMAVARAM TOWN,1
MARKAPUR ROAD,1
KOTIPALLI,1
PENDLIMARRI,1
JAKLAIR,1
HUMNABAD,1
RAYA DRUG,1
PARBHANI JN.,1
GADAG JN.,1
WADI JN.,1
JAJPUR KEONJHAR ROAD,1
CHAKULIA,1
BARSUAN,1
BIRMITRAPUR,1
CHANDIA ROAD,1
MANENDRAGARH,1
LANJI GARH ROAD,1
TALCHER,1
ANGUL,1
KENDUJHAR,1
TORI,1
WADSA,1
GOMTINAGAR F,1
DHARMAVARAM JN.,1
BAGALKOT,1
SUBRAHMANYA ROAD,1
CHERVATTUR,1
BYNDOOR,1
KASARAGOD,1
BAGAVATHIPURAM,1
KUMBAKONAM,1
HOSPET JN.,1
BIRUR JN.,1
NADIKUDE JN.,1
DHONE JN,1
BADSHAHNAGAR,1
FURKATING JN.,1
PETRAPOLE,1
DEOGHAR,1
NABADWIP DHAM,1
CHITRAKUTDHAM KARWI,1
VAPI,1
PRATAP NAGAR,1
RAJPIPLA,1
ANKLESHWAR JN.,1
KANALUS,1
DHOLA JN,1
RAJULA CITY,1
PURNEA COURT,1
NATHDWARA,1
HASSAN JN.,1
BHILAD,1
RANINAGAR JALPAIGURI,1
DAURAM MADHEPURA,1
MAIRABARI,1
VANGAICHUNGPAO,1
BHAIRABI,1
BADARPUR JN.,1
OLD MALDA,1
SINGHABAD,1
BHALUKPONG,1
BUNIYADPUR,1
MENDIPATHAR,1
SIMALUGURI JN.,1
NANJANGUD TOWN,1
MAKSI JN,1
PUSHKAR TERMINUS,1
CHITTOOR,1
BALANGIR,1
FATEHPUR-SHEKHAWATI,1
RAGHUNATHPUR,1
DURGAPUR,1
HAZARIBAGH ROAD,1
SAHIBABAD,1
PANKI,1
BULANDSHAHR,1
HATHRAS JN.,1
BALLABGARH,1
PRINCEP GHAT,1
GHUTIARI SHARIF,1
DUMDUM CANTONMENT,1
ABOHAR,1
SAWAI MADHOPUR JN,1
BILARA,1
BETTIAH,1
DALIGANJ JN,1
ACHHNERA JN.,1
BATHUA BAZAR HALT,1
DHARMABAD,1
MURI,1
MOGA,1
"BALRAMPUR,",1
WARANGAL,1
BHONGIR,1
JANGAON,1
SRIKAKULAM ROAD,1
RAVIKAMPADU,1
TUNI,1
GHATSILA,1
JALESWAR,1
BELDA,1
KHANODIH,1
CHANDRAPURA JN.,1
PENDRA ROAD,1
UMBERGAON ROAD,1
NANDURBAR,1
DAHEJ,1
BOISAR,1
MAGRAHAT,1
SHRIPAT SHRIKHANDA,1
GURAP,1
HARI PAL,1
BALLY,1
BALICHAK,1
KOLAGHAT,1
NARWANA JN.,1
RAHIMABAD,1
ROZA JN,1
MEERUT CANT,1
GARWA ROAD JN.,1
MANDSOR,1
BALLYGUNGE JN.,1
NEW ALIPUR (CALCUTTA),1
PALLAVARAM,1
ST. THOMAS MOUNT,1
ENNORE,1
NEW AMRAVATI,1
DEVLALI,1
CHHEOKI,1
BORDHAI,1
TIKUNIA,1
JAWALAMUKHI ROAD,1
KODINAR,1
KHIJADIYA JN,1
TILAIYA,1
THAKURNAGAR,1
KWAKDWIP,1
CHAIBASA,1
PAYYANUR,1
DEVANHALLI,1
NALHATI JN.,1
JANGIPUR ROAD,1
R BLOCK HALT,1
BARAUT,1
MANANWALA,1
QADIAN,1
BHILDI JN,1
PHEPHNA JN.,1
PIDUGURALLA,1
GADWAL,1
WARASEONI,1
BADAMPAHAR,1
SHMATA VD KATRA,1
PANJIPARA,1
SONAMUKHI PH,1
CHEMBUR,1
SONARDIH,1
KUSUNDA,1
KHADKI,1
DELHI-SAFDAR JANG,1
