Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
54783,FKA-RE PASSE,FAZILKA JN.,REWARI JN.,WEDNESDAY,Weekday
54784,RE-FKA PASSE,REWARI JN.,FAZILKA JN.,SATURDAY,Weekend
54785,FZR-FKA PASS,FIROZPUR CANTT JN.,FAZILKA JN.,SATURDAY,Weekend
54786,FKA-FZR PASS,FAZILKA JN.,FIROZPUR CANTT JN.,SATURDAY,Weekend
54787,BNW-RE PASSE,BHIWANI JN.,REWARI JN.,FRIDAY,Weekday
54788,RE-BNW PASSE,REWARI JN.,BHIWANI JN.,THURSDAY,Weekday
54789,RE BKN PASSE,REWARI JN.,BIKANER JN.,WEDNESDAY,Weekday
54790,BKN RE PASSE,BIKANER JN.,REWARI JN.,SATURDAY,Weekend
54791,MTJ-BNW PASS,MATHURA JN.,BHIWANI JN.,SATURDAY,Weekend
54792,BNW-MTJ PASS,BHIWANI JN.,MATHURA JN.,THURSDAY,Weekday
54793,SWM-MTJ PASS,SAWAI MADHOPUR JN,MATHURA JN.,SATURDAY,Weekend
54794,MTJ-SWM PASS,MATHURA JN.,SAWAI MADHOPUR JN,TUESDAY,Weekday
54803,JU - ADI PAS,JODHPUR JN.,AHMEDABAD,WEDNESDAY,Weekday
54804,ADI - JU PAS,AHMEDABAD,JODHPUR JN.,TUESDAY,Weekday
54805,JAIPUR PASSE,AHMEDABAD,JAIPUR JN.,WEDNESDAY,Weekday
54806,JP ADI PASSN,JAIPUR JN.,AHMEDABAD,MONDAY,Weekday
54809,RE-JU PASS,REWARI JN.,JODHPUR JN.,SUNDAY,Weekend
54810,JU-RE PASSEN,JODHPUR JN.,REWARI JN.,MONDAY,Weekday
54813,JU-BME PASS,JODHPUR JN.,BARMER,THURSDAY,Weekday
54819,JSM-JU    PA,JAISALMER,JODHPUR JN.,WEDNESDAY,Weekday
54820,JU-JSM  PASS,JODHPUR JN.,JAISALMER,SATURDAY,Weekend
54822,MKN PBC PASS,MAKRANA JN.,PARVATSAR CITY,SUNDAY,Weekend
54825,JU-BARA  PAS,JODHPUR JN.,BILARA,SATURDAY,Weekend
