Source_Station_Name,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,Average_Trains_Per_Day
BYNDOOR,0,0,0,0,0,0,1,0.14285714285714285
CALICUT,0,2,0,2,0,1,0,0.7142857142857143
CANNING,7,2,7,4,3,3,3,4.142857142857143
CASTLE ROCK,0,0,0,1,0,0,0,0.14285714285714285
CHAIBASA,0,0,0,0,1,0,0,0.14285714285714285
CHAKARADHARPUR,0,0,3,2,1,0,0,0.8571428571428571
CHAKULIA,0,0,0,0,1,0,0,0.14285714285714285
CHALISGAON JN.,0,1,0,1,0,1,0,0.42857142857142855
CHAMPAHATI,0,0,0,0,0,1,0,0.14285714285714285
CHAMRAJANAGAR,0,2,0,2,0,0,1,0.7142857142857143
CHANDAFORT,1,1,0,0,0,0,0,0.2857142857142857
CHANDANPUR,2,0,0,0,0,1,1,0.5714285714285714
CHANDAUSI JN.,1,0,1,0,0,0,0,0.2857142857142857
CHANDIA ROAD,0,0,0,0,1,0,0,0.14285714285714285
CHANDIGARH,3,4,0,3,1,4,2,2.4285714285714284
CHANDRAPURA JN.,0,0,1,0,0,0,0,0.14285714285714285
CHANNA PATNA,0,0,0,1,0,0,0,0.14285714285714285
CHEMBUR,0,1,0,0,0,0,0,0.14285714285714285
CHENGALPATTU,10,13,14,13,6,4,14,10.571428571428571
CHENNAI BEACH,48,58,42,47,49,47,48,48.42857142857143
CHENNAI CENTRAL,12,10,13,9,16,11,7,11.142857142857142
CHENNAI EGMORE,3,7,4,6,5,0,5,4.285714285714286
CHERVATTUR,1,0,0,0,0,0,0,0.14285714285714285
CHHAPRA JN.,3,2,5,4,2,3,3,3.142857142857143
CHHAPRA KACHEHRI,0,0,0,0,0,1,1,0.2857142857142857
CHHATRAPATI SHAHU MAHARAJ TERMINUS,0,3,2,3,3,4,2,2.4285714285714284
CHHEOKI,0,0,1,0,0,0,0,0.14285714285714285
CHHINWARA JN,1,1,0,0,3,0,0,0.7142857142857143
CHHOTA UDEPUR,1,0,0,0,2,1,0,0.5714285714285714
CHIKJAJUR JN.,0,2,0,0,0,1,1,0.5714285714285714
CHIKMAGALURU,0,0,1,1,0,0,0,0.2857142857142857
CHIRMIRI,0,1,1,1,1,0,1,0.7142857142857143
CHITRADURG,0,0,0,0,0,1,1,0.2857142857142857
CHITRAKUTDHAM KARWI,0,0,0,1,0,0,0,0.14285714285714285
CHITTAURGARH JN,0,0,0,0,1,1,2,0.5714285714285714
CHITTOOR,0,0,0,1,0,0,0,0.14285714285714285
CHOPAN,4,0,0,0,2,0,1,1.0
CHUNAR JN.,1,0,0,0,0,1,0,0.2857142857142857
CHURCHGATE,1,0,1,1,0,1,3,1.0
CHURU,2,0,0,0,0,1,0,0.42857142857142855
COIMBATORE  JN.,3,7,6,3,4,4,3,4.285714285714286
COONOOR,1,0,0,0,1,0,1,0.42857142857142855
CST-MUMBAI,58,77,78,72,79,80,69,73.28571428571429
CUDDALORE PORT JN.,0,0,0,0,0,0,1,0.14285714285714285
CUDDAPAH,0,1,0,0,0,1,2,0.5714285714285714
CUTTACK JN.,2,1,1,0,2,0,2,1.1428571428571428
DADAR,5,7,8,5,9,4,7,6.428571428571429
DAHANU ROAD,4,4,5,2,1,2,3,3.0
DAHEJ,0,0,0,0,1,0,0,0.14285714285714285
DAHOD,0,1,2,0,1,1,2,1.0
DAKOR,0,0,0,0,0,1,1,0.2857142857142857
DALIGANJ JN,0,1,0,0,0,0,0,0.14285714285714285
DALLI-RAJHARA,0,0,0,0,0,2,1,0.42857142857142855
DAMOH,1,0,1,0,0,0,0,0.2857142857142857
DANAPUR,3,0,2,2,3,0,4,2.0
DANGARI,0,0,0,1,0,0,0,0.14285714285714285
DANKAUR,0,1,0,0,1,0,0,0.2857142857142857
DANKUNI JN.,4,4,3,3,1,1,5,3.0
DARBHANGA JN.,2,1,3,6,0,1,5,2.5714285714285716
DARJEELING,4,1,0,2,1,3,1,1.7142857142857142
DATTAPUKUR,1,0,2,2,2,3,1,1.5714285714285714
DAUND JN.,1,1,1,0,1,1,2,1.0
DAURAM MADHEPURA,0,0,0,0,1,0,0,0.14285714285714285
DEHRA DUN,1,5,1,2,4,5,1,2.7142857142857144
DEHRI-ON-SON,1,1,1,0,2,2,0,1.0
DEKARGAON,2,1,1,1,1,0,0,0.8571428571428571
DELHI JN.,14,9,10,12,19,16,8,12.571428571428571
DELHI-SAFDAR JANG,0,1,1,0,1,0,0,0.42857142857142855
DELHI-SARAI ROHILLA,4,4,3,3,1,4,5,3.4285714285714284
DELVADA,0,0,0,0,1,0,1,0.2857142857142857
DEOGHAR,0,0,0,0,0,1,0,0.14285714285714285
DERABABA NANAK,0,0,1,0,2,1,0,0.5714285714285714
DEVANHALLI,0,1,0,0,0,0,0,0.14285714285714285
DEVLALI,1,0,0,0,0,0,0,0.14285714285714285
DHAMTARI,0,0,0,0,1,0,2,0.42857142857142855
DHANAURI,2,0,0,0,0,0,0,0.2857142857142857
DHANBAD JN.,3,1,4,1,1,3,5,2.5714285714285716
DHARMABAD,0,1,0,0,0,0,0,0.14285714285714285
DHARMANAGAR,1,1,1,0,0,0,0,0.42857142857142855
DHARMAPURI,0,0,0,0,1,0,0,0.14285714285714285
DHARMAVARAM JN.,0,0,0,0,0,0,1,0.14285714285714285
DHARWAD,0,0,0,1,1,3,0,0.7142857142857143
DHASA JN (MG),0,0,1,0,0,1,2,0.5714285714285714
DHOLA JN,0,1,0,0,0,0,0,0.14285714285714285
DHOLPUR (NG),0,0,0,0,0,0,2,0.2857142857142857
