Source_Station_Name,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,Average_Trains_Per_Day
TITLA GARH JN.,0,0,0,2,0,1,0,0.42857142857142855
TITVALA,5,7,5,6,7,4,5,5.571428571428571
TORI,0,0,0,0,1,0,0,0.14285714285714285
TRICHUR,0,0,1,1,2,0,0,0.5714285714285714
TRIVANDRUM CENTRAL,2,10,7,4,6,1,5,5.0
TUMKUR,0,0,1,1,1,0,0,0.42857142857142855
TUMSAR RD,0,1,0,0,0,2,0,0.42857142857142855
TUNDLA JN,1,1,0,1,3,1,1,1.1428571428571428
TUNI,0,1,0,0,0,0,0,0.14285714285714285
TUTICORIN,0,1,2,1,1,2,0,1.0
UDAIPUR,0,1,0,0,0,0,1,0.2857142857142857
UDAIPUR CITY,1,1,3,1,4,4,2,2.2857142857142856
UDHAGAMANDALAM,0,0,0,1,2,0,1,0.5714285714285714
UDHAMPUR,1,0,0,1,2,2,1,1.0
UDHNA JN.,0,0,1,0,1,0,1,0.42857142857142855
UJJAIN JN,0,2,1,0,1,1,1,0.8571428571428571
ULUBARIA,0,0,2,0,2,0,0,0.5714285714285714
UMBERGAON ROAD,0,0,1,0,0,0,0,0.14285714285714285
UMDANAGAR,0,0,0,1,3,2,1,1.0
UNA HIMACHAL,0,1,0,0,1,0,0,0.2857142857142857
UNCHAHAR JN.,0,0,1,0,1,0,0,0.2857142857142857
URKURA,0,0,1,0,0,0,0,0.14285714285714285
VADODARA JN.,3,7,0,3,3,2,3,3.0
VADTAL SWAMINARAYAN,0,1,1,0,0,0,0,0.2857142857142857
VALSAD,2,2,1,1,2,1,3,1.7142857142857142
VANCHI MANIYACHCHI JN,0,1,0,1,0,0,0,0.2857142857142857
VAPI,0,1,0,0,0,0,0,0.14285714285714285
VARANASI CITY,1,3,2,0,2,2,1,1.5714285714285714
VARANASI JN.,5,2,7,6,8,9,3,5.714285714285714
VASAI ROAD,1,0,2,2,1,0,0,0.8571428571428571
VASCO-DA-GAMA,2,1,2,1,2,3,0,1.5714285714285714
VASHI,15,12,11,18,10,13,13,13.142857142857142
VELACHEERY,16,17,11,18,24,11,18,16.428571428571427
VELANKANNI,1,0,0,0,0,1,2,0.5714285714285714
VELLORE CANTT,1,1,0,0,1,0,0,0.42857142857142855
VERAVAL,0,1,0,0,1,0,2,0.5714285714285714
VERAVAL MG,0,0,1,3,0,0,0,0.5714285714285714
VERKA JN.,1,0,0,1,0,2,0,0.5714285714285714
VIDYAVIHAR,1,1,2,1,1,1,1,1.1428571428571428
VIJAPUR,0,2,1,1,0,1,0,0.7142857142857143
VIJAYWADA JN.,8,7,3,8,5,5,6,6.0
VIKRABAD JN.,1,0,0,0,0,0,1,0.2857142857142857
VILLUPURAM JN.,2,1,1,2,2,3,3,2.0
VIRAMGAM JN,1,2,0,0,1,0,0,0.5714285714285714
VIRAR,1,2,4,5,1,1,3,2.4285714285714284
VIRUDUNAGAR JN,0,0,0,0,0,0,1,0.14285714285714285
VISAKHAPATNAM,9,6,11,6,10,2,4,6.857142857142857
VIZIANAGARAM JN.,0,0,0,0,0,2,2,0.5714285714285714
VRIDHA CHALAM JN.,0,0,2,0,1,0,0,0.42857142857142855
VRINDAVAN,0,2,1,0,1,0,1,0.7142857142857143
WADI JN.,0,0,1,0,0,0,0,0.14285714285714285
WADSA,0,0,1,0,0,0,0,0.14285714285714285
WANKANER,0,0,0,1,1,1,3,0.8571428571428571
WARANGAL,0,0,1,1,0,0,0,0.2857142857142857
WARASEONI,0,0,0,0,0,0,1,0.14285714285714285
WARDHA JN.,0,1,1,0,1,0,1,0.5714285714285714
WHITE FIELD,0,0,0,0,1,0,1,0.2857142857142857
YAMUNA BRIDGE,1,0,1,0,0,0,0,0.2857142857142857
YESVANTPUR JN.,9,9,11,10,7,8,6,8.571428571428571
